,title,price
212,Redmi Note 4 3+64 98% new (original )-FULL SET BOX,RM219.00
213,[ FREE GIFT ] Xiaomi Redmi 10C (4GB+64GB/4GB+128GB) 1 year Warranty Original Xiaomi Malaysia,RM559.00
214,Xiaomi Redmi 9A | 5000mAh battery | 1 Year Warranty by Xiaomi,RM369.00
215,"[Malaysia Set] Xiaomi Redmi 10C ORIGINAL Smartphone (4GB RAM+64GB ROM) & (4GB RAM + 128GB ROM) | SnapDragon 680, 6.71"" Dot Drop display | 5000 mAh Battery and with 1 Year XIAOMI Malaysia Warranty",RM559.00
216,redmi note 10 pro max leather case,RM25.00
217,Redmi Note 11s 5G (6+128GB) |FHD+ DotDisplay | 50MP AI Triple Camera |1 Year Malaysia Xiaomi Warranty |Ready Stock,RM999.00
218,REDMI NOTE 11 PRO 4G/5G (8+128GB) 120Hz AMOLED Display & 67W Turbo Charge | MALAYSIA XIAOMI WARRANTY | READY STOCK,"RM1,099.00"
219,"Xiaomi Redmi 9A 6.53""' HD+DotDrop 5000mAh (2GB RAM + 32GB ROM)",RM369.00
220,[PRE-ORDER]Xiaomi Redmi K50/Redmi K50 Pro/Redmi K50 Ultra Redmi K40s Demensity 9000,"RM1,933.00"
221,ORIGINAL NEW REDMI 9T 4GB RAM + 64GB ROM / 6GB RAM + 128GB ROM,RM578.00
222,[READY STOCK] REDMI 9A | FREE 7 GIFTS | FREE GIFTS WORTH RM119 | 2GB RAM + 32GB ROM | 13MP Camera | 5000mAh,RM353.00
223,Xiaomi Redmi 10 (6GB+128GB) 50MP Ultra-clear Quad Camera 90Hz FHD+ Display,RM694.00
224,🎀REDMI 10 2022 (4GB+128GB) | 50MP AI QUAD CAMERA | XIAOMI MALAYSIA WARRANTY,RM699.00
225,[MY SET] Redmi Note 10S (8GB RAM + 128GB ROM) 100% Original Smartphone Android Phone 1 Year Local Official Warranty,RM999.00
226,redmi note 9,RM799.00
227,"Redmi 10C (6.71"" | 4GB RAM\64GB ROM | 4GB RAM\128GB ROM | Dual Sim) UM",RM559.00
228,XIAOMI REDMI 10 2022 4GB RAM 128GB ROM XIAOMI MALAYSIA WARRANTY,RM669.00
229,REDMI NOTE 11S (4G) 8GB RAM 128GB ROM XIAOMI MALAYSIA WARRANTY,RM929.00
230,[ORIGINAL MALAYSIA SET] Xiaomi Redmi 8 [3GB+32GB] Black,RM599.00
231,(HOT DEAL) 5G REDMI 10 (10GB/512GB) IMPORT NEW SET,RM218.00
232,ORIGINAL NEW REDMI NOTE 10S 8GB RAM + 128GB ROM,RM843.00
233,Xiao Mi Redmi 7A [2GB+32GB] 1Year Warranty by XiaoMi Malaysia,RM399.00
234,[OFFER ITEMS] Redmi Note 3 Dual SIM Dual Standby 5.5 Inch 3GB RAM 32GB ROM Original import Used set,RM179.00
235,Redmi K60 Pro / Redmi K60 / Redmi K60e,"RM1,620.00"
236,Redmi Note 8 4/64 GLOBAL [SECONDHAND WITH TIPTOP CONDITION],RM505.00
237,REDMI Note 11S (8+128) Mobile Smartphone Xiaomi Original Malaysia 1 year warranty,RM999.00
238,💥 REDMI 9A 2GB+32GB 💥 1 YEAR WARRANTY XIAOMI MALAYSIA 💥,RM344.00
